home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 335, 337, 332, 334, 1.01, 1.01
1, 1, 2, 368, 372, 367, 371, 1.01, 1.01
1, 1, 3, 173, 177, 173, 176, 1.02, 1.02
1, 1, 4, 36, 38, 37, 39, 1.06, 1.05
1, 1, 5, 8, 8, 8, 8, 1.00, 1.00
1, 1, 6, 5, 7, 6, 8, 1.40, 1.33
1, 2, 1, 178, 180, 175, 177, 1.01, 1.01
1, 2, 2, 425, 434, 426, 435, 1.02, 1.02
1, 2, 3, 526, 540, 525, 538, 1.03, 1.02
1, 2, 4, 263, 269, 263, 269, 1.02, 1.02
1, 2, 5, 81, 82, 80, 81, 1.01, 1.01
1, 2, 6, 17, 17, 16, 16, 1.00, 1.00
2, 1, 1, 412, 472, 404, 469, 1.15, 1.16
2, 1, 2, 517, 598, 516, 596, 1.16, 1.16
2, 1, 3, 355, 403, 353, 401, 1.14, 1.14
2, 1, 4, 136, 153, 133, 150, 1.12, 1.13
2, 1, 5, 29, 37, 29, 37, 1.28, 1.28
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 486, 584, 484, 582, 1.20, 1.20
2, 2, 2, 1112, 1281, 1103, 1276, 1.15, 1.16
2, 2, 3, 1726, 2008, 1717, 2007, 1.16, 1.17
2, 2, 4, 1442, 1710, 1433, 1700, 1.19, 1.19
2, 2, 5, 591, 705, 586, 702, 1.19, 1.20
2, 2, 6, 124, 154, 124, 155, 1.24, 1.25
3, 1, 1, 217, 255, 218, 254, 1.18, 1.17
3, 1, 2, 405, 485, 410, 493, 1.20, 1.20
3, 1, 3, 453, 547, 454, 543, 1.21, 1.20
3, 1, 4, 253, 317, 248, 310, 1.25, 1.25
3, 1, 5, 48, 63, 48, 63, 1.31, 1.31
3, 1, 6, 6, 7, 6, 7, 1.17, 1.17
3, 2, 1, 432, 514, 432, 515, 1.19, 1.19
3, 2, 2, 1688, 2021, 1685, 2024, 1.20, 1.20
3, 2, 3, 3563, 4288, 3547, 4275, 1.20, 1.21
3, 2, 4, 4168, 5131, 4160, 5124, 1.23, 1.23
3, 2, 5, 1884, 2400, 1885, 2396, 1.27, 1.27
3, 2, 6, 235, 299, 230, 293, 1.27, 1.27
4, 1, 1, 98, 121, 98, 120, 1.23, 1.22
4, 1, 2, 367, 423, 370, 427, 1.15, 1.15
4, 1, 3, 478, 567, 478, 567, 1.19, 1.19
4, 1, 4, 302, 374, 303, 374, 1.24, 1.23
4, 1, 5, 60, 77, 60, 78, 1.28, 1.30
4, 1, 6, 7, 8, 7, 8, 1.14, 1.14
4, 2, 1, 326, 398, 325, 399, 1.22, 1.23
4, 2, 2, 1823, 2263, 1815, 2256, 1.24, 1.24
4, 2, 3, 5221, 6479, 5222, 6489, 1.24, 1.24
4, 2, 4, 8391, 10529, 8386, 10529, 1.25, 1.26
4, 2, 5, 3964, 5225, 3950, 5219, 1.32, 1.32
4, 2, 6, 419, 581, 419, 581, 1.39, 1.39
5, 1, 1, 21, 23, 22, 24, 1.10, 1.09
5, 1, 2, 83, 105, 83, 104, 1.27, 1.25
5, 1, 3, 103, 125, 102, 124, 1.21, 1.22
5, 1, 4, 75, 97, 75, 98, 1.29, 1.31
5, 1, 5, 15, 23, 16, 24, 1.53, 1.50
5, 1, 6, 4, 4, 4, 4, 1.00, 1.00
5, 2, 1, 95, 118, 93, 117, 1.24, 1.26
5, 2, 2, 482, 617, 477, 616, 1.28, 1.29
5, 2, 3, 1233, 1577, 1235, 1575, 1.28, 1.28
5, 2, 4, 1975, 2579, 1974, 2579, 1.31, 1.31
5, 2, 5, 970, 1339, 970, 1340, 1.38, 1.38
5, 2, 6, 116, 177, 114, 175, 1.53, 1.54
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 8, 9, 9, 10, 1.12, 1.11
6, 1, 3, 8, 12, 8, 12, 1.50, 1.50
6, 1, 4, 10, 16, 10, 16, 1.60, 1.60
6, 1, 5, 2, 3, 1, 1, 1.50, 1.00
6, 1, 6, 1, 2, 1, 2, 2.00, 2.00
6, 2, 1, 8, 13, 8, 13, 1.62, 1.62
6, 2, 2, 59, 82, 61, 84, 1.39, 1.38
6, 2, 3, 174, 236, 175, 235, 1.36, 1.34
6, 2, 4, 279, 385, 275, 376, 1.38, 1.37
6, 2, 5, 173, 241, 172, 238, 1.39, 1.38
6, 2, 6, 33, 62, 33, 62, 1.88, 1.88
