home_menno, car_yesno, home_income, num_of_household (p), productions, num_of_household (a), attractions, rate_of_productions, rate_of_attractions
1, 1, 1, 323, 327, 318, 322, 1.01, 1.01
1, 1, 2, 340, 342, 338, 340, 1.01, 1.01
1, 1, 3, 166, 169, 164, 167, 1.02, 1.02
1, 1, 4, 42, 42, 43, 43, 1.00, 1.00
1, 1, 5, 6, 6, 6, 6, 1.00, 1.00
1, 1, 6, 6, 8, 7, 9, 1.33, 1.29
1, 2, 1, 140, 141, 138, 139, 1.01, 1.01
1, 2, 2, 366, 375, 367, 376, 1.02, 1.02
1, 2, 3, 404, 415, 405, 415, 1.03, 1.02
1, 2, 4, 199, 203, 201, 205, 1.02, 1.02
1, 2, 5, 60, 61, 60, 61, 1.02, 1.02
1, 2, 6, 17, 17, 16, 16, 1.00, 1.00
2, 1, 1, 397, 459, 388, 453, 1.16, 1.17
2, 1, 2, 521, 601, 520, 601, 1.15, 1.16
2, 1, 3, 348, 391, 345, 388, 1.12, 1.12
2, 1, 4, 134, 155, 132, 153, 1.16, 1.16
2, 1, 5, 28, 35, 28, 35, 1.25, 1.25
2, 1, 6, 6, 8, 6, 8, 1.33, 1.33
2, 2, 1, 429, 512, 424, 506, 1.19, 1.19
2, 2, 2, 984, 1131, 975, 1127, 1.15, 1.16
2, 2, 3, 1497, 1736, 1491, 1736, 1.16, 1.16
2, 2, 4, 1219, 1430, 1211, 1421, 1.17, 1.17
2, 2, 5, 516, 608, 512, 606, 1.18, 1.18
2, 2, 6, 106, 127, 106, 128, 1.20, 1.21
3, 1, 1, 225, 273, 225, 270, 1.21, 1.20
3, 1, 2, 418, 494, 421, 499, 1.18, 1.19
3, 1, 3, 441, 524, 444, 524, 1.19, 1.18
3, 1, 4, 251, 316, 249, 315, 1.26, 1.27
3, 1, 5, 51, 62, 51, 62, 1.22, 1.22
3, 1, 6, 5, 6, 5, 6, 1.20, 1.20
3, 2, 1, 405, 485, 406, 486, 1.20, 1.20
3, 2, 2, 1584, 1887, 1575, 1881, 1.19, 1.19
3, 2, 3, 3183, 3807, 3170, 3796, 1.20, 1.20
3, 2, 4, 3689, 4508, 3682, 4504, 1.22, 1.22
3, 2, 5, 1661, 2122, 1660, 2116, 1.28, 1.27
3, 2, 6, 209, 267, 203, 260, 1.28, 1.28
4, 1, 1, 108, 135, 109, 135, 1.25, 1.24
4, 1, 2, 382, 447, 385, 453, 1.17, 1.18
4, 1, 3, 477, 582, 474, 579, 1.22, 1.22
4, 1, 4, 305, 387, 304, 385, 1.27, 1.27
4, 1, 5, 62, 84, 62, 84, 1.35, 1.35
4, 1, 6, 8, 9, 8, 9, 1.12, 1.12
4, 2, 1, 299, 366, 299, 368, 1.22, 1.23
4, 2, 2, 1712, 2126, 1705, 2120, 1.24, 1.24
4, 2, 3, 4718, 5869, 4715, 5875, 1.24, 1.25
4, 2, 4, 7275, 9088, 7277, 9104, 1.25, 1.25
4, 2, 5, 3495, 4561, 3486, 4557, 1.31, 1.31
4, 2, 6, 358, 482, 358, 482, 1.35, 1.35
5, 1, 1, 20, 22, 21, 23, 1.10, 1.10
5, 1, 2, 77, 99, 77, 98, 1.29, 1.27
5, 1, 3, 100, 119, 99, 118, 1.19, 1.19
5, 1, 4, 69, 91, 69, 92, 1.32, 1.33
5, 1, 5, 17, 25, 18, 26, 1.47, 1.44
5, 1, 6, 4, 4, 4, 4, 1.00, 1.00
5, 2, 1, 73, 92, 71, 90, 1.26, 1.27
5, 2, 2, 420, 533, 414, 528, 1.27, 1.28
5, 2, 3, 1090, 1418, 1092, 1417, 1.30, 1.30
5, 2, 4, 1674, 2177, 1674, 2178, 1.30, 1.30
5, 2, 5, 848, 1163, 845, 1159, 1.37, 1.37
5, 2, 6, 104, 158, 102, 156, 1.52, 1.53
6, 1, 1, 3, 4, 2, 3, 1.33, 1.50
6, 1, 2, 9, 11, 10, 12, 1.22, 1.20
6, 1, 3, 7, 11, 7, 11, 1.57, 1.57
6, 1, 4, 8, 12, 8, 12, 1.50, 1.50
6, 1, 5, 3, 5, 3, 5, 1.67, 1.67
6, 1, 6, 0, 0, 0, 0, 0.00, 0.00
6, 2, 1, 7, 11, 7, 11, 1.57, 1.57
6, 2, 2, 46, 59, 47, 60, 1.28, 1.28
6, 2, 3, 146, 194, 147, 193, 1.33, 1.31
6, 2, 4, 231, 311, 230, 306, 1.35, 1.33
6, 2, 5, 136, 189, 135, 186, 1.39, 1.38
6, 2, 6, 22, 35, 22, 35, 1.59, 1.59
