080950560214	1	1	1	3 	10	1	08-095-056	0630	2	01-022-053	0800	0	2
080950560215	1	1	1	10	2 	1	08-095-056	0430	5	01-013-075	0510	0	2
080950560215	1	2	1	10	7 	1	08-095-056	0900	5	01-013-075	1000	0	2
080950560215	1	3	1	3 	7 	1	08-095-056	0800	2	01-013-075	0900	0	2
080950560217	1	1	1	3 	10	1	08-095-056	0720	2	01-002-055	0850	0	2
080950560218	1	1	1	3 	2 	1	08-095-056	0830	2	01-023-065	0930	0	2
080950560219	1	1	3	10	2 	1	08-095-056	1900	5	01-015-054	2000	0	2
080950560219	1	2	1	10	7 	1	08-095-056	1230	5	01-015-054	1320	0	2
080950560220	1	2	1	3 	2 	1	08-095-056	0830	2	01-017-055	0930	0	2
080950560221	1	1	1	3 	2 	1	08-095-056	0630	2	01-023-065	0715	0	2
080950560223	1	1	1	3 	2 	1	08-095-056	0950	2	01-013-075	1020	0	2
080950560303	1	3	1	3 	10	1	08-095-056	0733	2	01-012-072	0830	0	2
080950560305	1	1	1	3 	2 	1	08-095-056	0620	2	01-014-066	0730	0	2
080950560306	1	1	1	3 	2 	1	08-095-056	0630	2	01-012-051	0730	0	2
080950560312	1	1	1	3 	10	1	08-095-056	0645	2	01-001-065	0805	0	2
080950560320	1	1	1	3 	2 	1	08-095-056	0800	2	01-014-068	0840	0	2
080950560321	1	1	1	3 	2 	1	08-095-056	0900	2	01-018-051	1000	0	2
080950560322	1	4	1	5 	5 	1	08-095-056	1230	4	01-019-056	1330	0	2
080950560401	1	1	1	3 	5 	1	08-095-056	0930	2	01-016-074	1050	0	2
080950560401	1	2	1	3 	10	1	08-095-056	0725	2	01-022-054	0910	0	2
080950560405	1	1	1	3 	2 	1	08-095-056	0700	2	01-004-065	0830	0	2
080950560405	1	2	1	10	10	1	08-095-056	1054	5	01-001-058	1200	0	2
080950560409	1	1	1	3 	2 	1	08-095-056	0650	2	01-014-075	0750	1	2
080950560412	1	1	1	9 	10	1	08-095-056	1030	5	01-012-071	1110	0	2
080950560412	1	3	1	4 	3 	1	08-095-056	0830	3	01-004-055	0940	3	2
080950560419	1	1	1	3 	7 	1	08-095-056	0530	2	01-017-054	0700	0	2
080950560420	1	1	1	3 	2 	1	08-095-056	0610	2	01-019-056	0730	0	2
080950560421	1	1	1	3 	10	1	08-095-056	0630	2	01-001-060	0740	0	2
080950560515	1	1	1	10	10	1	08-095-056	1430	5	01-002-059	1530	0	2
080950560601	1	1	1	4 	10	1	08-095-056	0730	3	01-002-065	0900	0	2
